block_group_geoid,precinct_id,municipality,ward,precinct,precinct_name,assigned_block_count,assigned_population_2020,assigned_housing_units_2020,assigned_land_area_sq_m_2020,block_group_population_2020,block_group_housing_units_2020,block_group_land_area_sq_m_2020,block_group_water_area_sq_m_2020,person_weight,person_weight_basis,household_weight,household_weight_basis,district_person_weight_share,district_household_weight_share
250173571002,BEL-00-01,Belmont,,1,Belmont Precinct 1,6,807,391,83186,2447,1149,489960,81055,0.32979158,population_2020,0.34029591,housing_units_2020,1.0,1.0
250173572001,BEL-00-01,Belmont,,1,Belmont Precinct 1,28,1848,701,854142,1848,701,854142,48597,1.0,population_2020,1.0,housing_units_2020,1.0,1.0
250173572002,BEL-00-01,Belmont,,1,Belmont Precinct 1,17,812,286,384278,1395,464,588434,1806,0.58207885,population_2020,0.61637931,housing_units_2020,1.0,1.0
250173571001,BEL-00-02,Belmont,,2,Belmont Precinct 2,19,950,336,581364,950,336,581364,0,1.0,population_2020,1.0,housing_units_2020,1.0,1.0
250173571004,BEL-00-02,Belmont,,2,Belmont Precinct 2,5,258,99,120727,983,353,355258,0,0.26246185,population_2020,0.28045326,housing_units_2020,1.0,1.0
250173577001,BEL-00-02,Belmont,,2,Belmont Precinct 2,5,151,48,327601,1122,465,2364985,18728,0.13458111,population_2020,0.10322581,housing_units_2020,1.0,1.0
250173578001,BEL-00-02,Belmont,,2,Belmont Precinct 2,21,949,319,850389,949,319,850389,0,1.0,population_2020,1.0,housing_units_2020,1.0,1.0
250173578003,BEL-00-02,Belmont,,2,Belmont Precinct 2,21,1145,380,1999197,1234,405,2108191,5852,0.92787682,population_2020,0.9382716,housing_units_2020,1.0,1.0
250173581003,BEL-00-02,Belmont,,2,Belmont Precinct 2,1,0,0,306461,1593,543,2339275,9127,0.0,population_2020,0.0,housing_units_2020,0.0,0.0
250173577001,BEL-00-03,Belmont,,3,Belmont Precinct 3,25,971,417,2037384,1122,465,2364985,18728,0.86541889,population_2020,0.89677419,housing_units_2020,1.0,1.0
250173577003,BEL-00-03,Belmont,,3,Belmont Precinct 3,9,919,364,283341,1080,432,323153,0,0.85092593,population_2020,0.84259259,housing_units_2020,1.0,1.0
250173577004,BEL-00-03,Belmont,,3,Belmont Precinct 3,2,196,86,24613,1109,469,160557,0,0.1767358,population_2020,0.18336887,housing_units_2020,1.0,1.0
250173578002,BEL-00-03,Belmont,,3,Belmont Precinct 3,7,368,132,135984,898,349,290737,0,0.40979955,population_2020,0.3782235,housing_units_2020,1.0,1.0
250173578003,BEL-00-03,Belmont,,3,Belmont Precinct 3,3,89,25,108994,1234,405,2108191,5852,0.07212318,population_2020,0.0617284,housing_units_2020,1.0,1.0
250173578004,BEL-00-03,Belmont,,3,Belmont Precinct 3,10,943,334,246170,943,334,246170,0,1.0,population_2020,1.0,housing_units_2020,1.0,1.0
250173576001,BEL-00-04,Belmont,,4,Belmont Precinct 4,7,844,347,159676,1098,442,192933,0,0.76867031,population_2020,0.78506787,housing_units_2020,1.0,1.0
250173576002,BEL-00-04,Belmont,,4,Belmont Precinct 4,20,1567,649,295009,1567,649,295009,0,1.0,population_2020,1.0,housing_units_2020,1.0,1.0
250173577002,BEL-00-04,Belmont,,4,Belmont Precinct 4,8,828,356,152303,828,356,152303,1128,1.0,population_2020,1.0,housing_units_2020,1.0,1.0
250173577003,BEL-00-04,Belmont,,4,Belmont Precinct 4,4,161,68,39812,1080,432,323153,0,0.14907407,population_2020,0.15740741,housing_units_2020,1.0,1.0
250173575002,BEL-00-05,Belmont,,5,Belmont Precinct 5,7,662,405,131614,662,405,131614,0,1.0,population_2020,1.0,housing_units_2020,1.0,1.0
