block_geoid,block_group_geoid,precinct_id,municipality,ward,precinct,precinct_name,population_2020,housing_units_2020,land_area_sq_m_2020,water_area_sq_m_2020,internal_lon,internal_lat,assignment_method,overlap_area_sq_m,block_geometry_area_sq_m,overlap_pct_of_block,boundary_review_flag
250173571002025,250173571002,BEL-00-01,Belmont,,1,Belmont Precinct 1,85,36,12045,0,-071.1569088,+42.3984515,largest_overlap,12035.084,12044.101,99.925,False
250173571002026,250173571002,BEL-00-01,Belmont,,1,Belmont Precinct 1,544,285,26262,0,-071.1565298,+42.3972266,largest_overlap,26236.536,26260.397,99.909,False
250173571002027,250173571002,BEL-00-01,Belmont,,1,Belmont Precinct 1,113,45,17867,0,-071.1580609,+42.3977688,largest_overlap,17839.149,17866.088,99.849,False
250173571002028,250173571002,BEL-00-01,Belmont,,1,Belmont Precinct 1,65,25,10373,0,-071.1582140,+42.3968529,largest_overlap,10365.741,10371.991,99.94,False
250173571002029,250173571002,BEL-00-01,Belmont,,1,Belmont Precinct 1,0,0,13927,0,-071.1573294,+42.3962688,largest_overlap,13857.342,13925.568,99.51,False
250173571002030,250173571002,BEL-00-01,Belmont,,1,Belmont Precinct 1,0,0,2712,0,-071.1575358,+42.3959180,largest_overlap,2709.847,2711.898,99.924,False
250173572001000,250173572001,BEL-00-01,Belmont,,1,Belmont Precinct 1,0,0,8718,0,-071.1576963,+42.3956369,largest_overlap,8653.441,8717.006,99.271,False
250173572001001,250173572001,BEL-00-01,Belmont,,1,Belmont Precinct 1,17,1,15628,0,-071.1599511,+42.3954801,covered,15626.807,15626.807,100.0,False
250173572001002,250173572001,BEL-00-01,Belmont,,1,Belmont Precinct 1,0,0,202996,48597,-071.1631183,+42.3927245,covered,251578.161,251578.161,100.0,False
250173572001003,250173572001,BEL-00-01,Belmont,,1,Belmont Precinct 1,0,0,23355,0,-071.1732450,+42.3955771,covered,23353.273,23353.273,100.0,False
250173572001004,250173572001,BEL-00-01,Belmont,,1,Belmont Precinct 1,172,82,31675,0,-071.1604639,+42.3932727,covered,31672.623,31672.623,100.0,False
250173572001005,250173572001,BEL-00-01,Belmont,,1,Belmont Precinct 1,155,59,40466,0,-071.1593623,+42.3934236,covered,40463.47,40463.47,100.0,False
250173572001006,250173572001,BEL-00-01,Belmont,,1,Belmont Precinct 1,0,0,5504,0,-071.1580588,+42.3951188,largest_overlap,5401.002,5503.699,98.134,False
250173572001007,250173572001,BEL-00-01,Belmont,,1,Belmont Precinct 1,50,15,12256,0,-071.1636826,+42.3915280,covered,12255.453,12255.453,100.0,False
250173572001008,250173572001,BEL-00-01,Belmont,,1,Belmont Precinct 1,46,17,13764,0,-071.1645298,+42.3916965,covered,13763.153,13763.153,100.0,False
250173572001009,250173572001,BEL-00-01,Belmont,,1,Belmont Precinct 1,41,17,12432,0,-071.1653042,+42.3919153,covered,12431.083,12431.083,100.0,False
250173572001010,250173572001,BEL-00-01,Belmont,,1,Belmont Precinct 1,235,76,100772,0,-071.1650719,+42.3895223,largest_overlap,100704.709,100765.686,99.939,False
250173572001011,250173572001,BEL-00-01,Belmont,,1,Belmont Precinct 1,34,10,9449,0,-071.1648331,+42.3902824,covered,9448.496,9448.496,100.0,False
250173572001012,250173572001,BEL-00-01,Belmont,,1,Belmont Precinct 1,0,0,2453,0,-071.1670571,+42.3921542,covered,2453.009,2453.009,100.0,False
250173572001013,250173572001,BEL-00-01,Belmont,,1,Belmont Precinct 1,56,20,23909,0,-071.1670571,+42.3906545,covered,23907.243,23907.243,100.0,False
250173572001014,250173572001,BEL-00-01,Belmont,,1,Belmont Precinct 1,84,29,21444,0,-071.1624000,+42.3878034,largest_overlap,21380.758,21442.936,99.71,False
250173572001015,250173572001,BEL-00-01,Belmont,,1,Belmont Precinct 1,39,13,12251,0,-071.1628903,+42.3894334,covered,12250.58,12250.58,100.0,False
250173572001016,250173572001,BEL-00-01,Belmont,,1,Belmont Precinct 1,53,21,20670,0,-071.1632443,+42.3901830,covered,20669.191,20669.191,100.0,False
250173572001017,250173572001,BEL-00-01,Belmont,,1,Belmont Precinct 1,51,19,10841,0,-071.1625008,+42.3908995,covered,10840.575,10840.575,100.0,False
250173572001018,250173572001,BEL-00-01,Belmont,,1,Belmont Precinct 1,49,15,10053,0,-071.1624777,+42.3916484,covered,10052.697,10052.697,100.0,False
250173572001019,250173572001,BEL-00-01,Belmont,,1,Belmont Precinct 1,139,61,26880,0,-071.1615081,+42.3932207,covered,26878.096,26878.096,100.0,False
250173572001020,250173572001,BEL-00-01,Belmont,,1,Belmont Precinct 1,82,34,21144,0,-071.1613772,+42.3903426,covered,21142.909,21142.909,100.0,False
250173572001021,250173572001,BEL-00-01,Belmont,,1,Belmont Precinct 1,106,46,61763,0,-071.1587679,+42.3901127,largest_overlap,61724.868,61759.594,99.944,False
250173572001022,250173572001,BEL-00-01,Belmont,,1,Belmont Precinct 1,95,35,14545,0,-071.1583907,+42.3914505,covered,14543.789,14543.789,100.0,False
250173572001023,250173572001,BEL-00-01,Belmont,,1,Belmont Precinct 1,114,46,22055,0,-071.1584005,+42.3927035,covered,22054.217,22054.217,100.0,False
250173572001024,250173572001,BEL-00-01,Belmont,,1,Belmont Precinct 1,53,18,17817,0,-071.1604897,+42.3897939,covered,17816.089,17816.089,100.0,False
250173572001025,250173572001,BEL-00-01,Belmont,,1,Belmont Precinct 1,66,26,71598,0,-071.1594201,+42.3877949,largest_overlap,71289.17,71593.835,99.574,False
250173572001026,250173572001,BEL-00-01,Belmont,,1,Belmont Precinct 1,61,24,19574,0,-071.1615310,+42.3877449,largest_overlap,19506.626,19572.955,99.661,False
250173572001027,250173572001,BEL-00-01,Belmont,,1,Belmont Precinct 1,50,17,20130,0,-071.1643503,+42.3868505,largest_overlap,19981.985,20128.324,99.273,False
250173572002000,250173572002,BEL-00-01,Belmont,,1,Belmont Precinct 1,55,21,24182,0,-071.1678302,+42.3923234,covered,24180.214,24180.214,100.0,False
250173572002001,250173572002,BEL-00-01,Belmont,,1,Belmont Precinct 1,57,18,18091,0,-071.1688122,+42.3927560,covered,18090.202,18090.202,100.0,False
250173572002002,250173572002,BEL-00-01,Belmont,,1,Belmont Precinct 1,43,19,15764,0,-071.1696654,+42.3930856,covered,15762.585,15762.585,100.0,False
250173572002003,250173572002,BEL-00-01,Belmont,,1,Belmont Precinct 1,91,28,18791,0,-071.1705885,+42.3934096,covered,18790.167,18790.167,100.0,False
