precinct_id,municipality,ward,precinct,census_block_count,population_2020,housing_units_2020,boundary_review_block_count,minimum_block_overlap_pct,massgis_population_2020,population_difference_vs_massgis,acs_age_18_34_est,acs_age_18_34_moe,acs_age_65_plus_est,acs_age_65_plus_moe,acs_bachelors_plus_est,acs_bachelors_plus_moe,acs_education_age_25_plus_est,acs_education_age_25_plus_moe,acs_hispanic_est,acs_hispanic_moe,acs_households_income_below_50k_est,acs_households_income_below_50k_moe,acs_income_households_est,acs_income_households_moe,acs_nonhispanic_asian_est,acs_nonhispanic_asian_moe,acs_nonhispanic_black_est,acs_nonhispanic_black_moe,acs_nonhispanic_other_or_multiracial_est,acs_nonhispanic_other_or_multiracial_moe,acs_nonhispanic_white_est,acs_nonhispanic_white_moe,acs_occupied_households_est,acs_occupied_households_moe,acs_population_est,acs_population_moe,acs_renter_households_est,acs_renter_households_moe,acs_voting_age_18_plus_est,acs_voting_age_18_plus_moe,contributing_block_group_count,acs_voting_age_18_plus_pct,acs_age_18_34_pct,acs_age_65_plus_pct,acs_hispanic_pct,acs_nonhispanic_white_pct,acs_nonhispanic_black_pct,acs_nonhispanic_asian_pct,acs_bachelors_plus_pct,acs_renter_households_pct,acs_households_income_below_50k_pct
BOS-04-10,Boston,4,10,42,6094,661,0,96.9,6094,0,5549.4,538.6,115.2,117.9,475.4,149.5,765.2,191.5,943.5,233.1,209.0,88.9,532.4,120.7,899.1,188.5,373.4,114.7,306.8,122.0,3603.1,482.0,532.4,120.7,6125.8,541.7,487.8,120.3,5925.4,564.3,6,96.7,90.6,1.9,15.4,58.8,6.1,14.7,62.1,91.6,39.3
BOS-04-12,Boston,4,12,17,2215,571,0,98.3,2215,0,1595.7,285.3,114.6,57.9,330.8,103.4,599.6,166.3,534.7,387.2,245.7,81.5,448.1,118.4,430.4,132.5,78.9,53.6,140.0,64.7,1025.3,229.3,448.1,118.4,2209.4,496.2,352.7,114.9,1929.3,306.2,2,87.3,72.2,5.2,24.2,46.4,3.6,19.5,55.2,78.7,54.8
BOS-05-02,Boston,5,2,15,2711,1848,0,97.5,2711,0,1284.0,271.2,358.3,218.1,1157.3,228.5,1704.3,344.6,439.0,286.1,618.0,233.6,1394.6,218.4,369.7,128.2,154.0,98.3,68.0,52.1,1134.7,310.1,1394.6,218.4,2165.3,405.8,1236.0,220.0,2077.3,373.2,3,95.9,59.3,16.5,20.3,52.4,7.1,17.1,67.9,88.6,44.3
BOS-05-10,Boston,5,10,53,5725,1480,3,89.9,5725,0,5080.8,481.2,215.7,161.2,915.6,235.1,1115.7,267.0,633.2,175.4,530.5,185.9,1137.2,222.2,1350.4,271.5,267.8,120.9,384.7,152.4,2965.5,361.5,1137.2,222.2,5601.6,438.9,947.0,215.6,5564.1,523.8,7,99.3,90.7,3.9,11.3,52.9,4.8,24.1,82.1,83.3,46.6
BOS-05-12,Boston,5,12,11,2774,1814,0,96.0,2774,0,1840.1,550.1,41.0,82.6,1655.7,694.3,1988.5,721.7,524.9,284.8,520.1,212.9,1608.5,417.0,678.4,277.7,64.0,87.6,238.0,168.8,1217.2,664.4,1608.5,417.0,2722.6,756.6,1576.5,414.4,2604.7,615.3,3,95.7,67.6,1.5,19.3,44.7,2.4,24.9,83.3,98.0,32.3
BOS-05-15,Boston,5,15,16,2440,1303,1,91.6,2440,0,1409.4,206.1,245.9,118.7,956.3,226.8,1073.9,252.0,232.3,65.3,304.3,120.7,932.8,176.0,302.9,93.2,117.2,77.0,121.8,82.4,1257.2,249.7,932.8,176.0,2031.4,287.4,739.3,158.0,1965.2,260.9,4,96.7,69.4,12.1,11.4,61.9,5.8,14.9,89.0,79.3,32.6
BOS-21-01,Boston,21,1,27,4647,2638,0,97.2,4647,0,2649.4,425.0,134.2,116.9,2334.7,563.6,2569.0,566.9,322.4,159.6,916.8,245.4,2219.8,452.5,1128.3,298.9,239.5,109.4,98.9,73.2,2289.5,556.0,2219.8,452.5,4078.6,640.7,2054.0,453.6,3884.2,615.0,5,95.2,65.0,3.3,7.9,56.1,5.9,27.7,90.9,92.5,41.3
BOS-21-02,Boston,21,2,49,5699,478,0,95.3,5699,0,5559.2,569.0,54.2,81.1,421.7,107.1,460.9,109.5,355.3,168.8,173.3,84.9,249.7,67.3,1409.0,229.6,482.5,160.3,463.5,155.7,3046.6,293.4,249.7,67.3,5756.9,284.1,241.1,67.4,5709.8,582.2,6,99.2,96.6,0.9,6.2,52.9,8.4,24.5,91.5,96.6,69.4
BOS-21-03,Boston,21,3,25,3923,1978,3,76.3,3923,0,2022.3,343.5,129.6,127.9,1005.6,259.1,1261.1,286.8,253.9,190.3,730.8,190.1,1397.1,217.3,761.0,189.8,207.9,126.1,116.4,87.9,1165.2,269.8,1397.1,217.3,2504.4,375.2,1363.8,218.1,2504.4,401.6,3,100.0,80.7,5.2,10.1,46.5,8.3,30.4,79.7,97.6,52.3
BOS-21-04,Boston,21,4,13,2933,1281,0,97.3,2933,0,1533.0,380.9,48.0,77.8,921.0,299.1,1112.0,394.7,189.0,266.4,292.0,121.1,800.0,189.4,680.0,340.9,193.0,193.2,87.0,66.4,690.0,225.6,800.0,189.4,1839.0,562.9,786.0,191.7,1663.0,400.2,2,90.4,83.4,2.6,10.3,37.5,10.5,37.0,82.8,98.2,36.5
BOS-21-05,Boston,21,5,19,2948,1485,0,97.9,2948,0,1501.8,243.0,66.3,67.0,1210.9,251.1,1628.9,352.8,379.2,195.7,458.8,157.8,1127.5,179.5,389.3,114.6,115.0,101.7,77.9,55.8,1252.4,285.1,1127.5,179.5,2213.7,367.0,1029.5,172.2,2172.9,315.1,5,98.2,67.8,3.0,17.1,56.6,5.2,17.6,74.3,91.3,40.7
BOS-21-06,Boston,21,6,18,2023,771,0,98.4,2023,0,1090.4,235.0,324.3,135.1,836.5,206.2,1237.5,244.3,123.1,61.3,347.1,113.5,681.2,103.8,549.7,219.9,116.5,75.6,90.9,51.1,914.6,226.9,681.2,103.8,1794.7,294.9,577.0,101.7,1775.3,298.3,4,98.9,60.8,18.1,6.9,51.0,6.5,30.6,67.6,84.7,51.0
BOS-21-07,Boston,21,7,7,2703,1344,0,98.5,2703,0,1665.7,333.4,238.1,103.9,1077.4,322.7,1540.3,352.0,386.4,166.1,473.4,148.8,1211.0,167.8,476.1,156.0,49.3,37.0,87.3,58.0,1374.6,350.3,1211.0,167.8,2373.7,406.1,1108.8,165.5,2341.7,378.9,4,98.7,70.2,10.0,16.3,57.9,2.1,20.1,69.9,91.6,39.1
BOS-21-08,Boston,21,8,21,3255,1846,0,97.9,3255,0,2274.9,516.5,176.1,126.8,2177.3,630.0,2576.8,666.8,365.2,306.0,498.2,199.5,1706.2,303.0,565.7,174.7,269.4,263.7,30.0,50.4,2035.7,609.1,1706.2,303.0,3265.8,713.6,1559.0,300.9,3072.2,577.0,4,94.1,69.7,5.4,11.2,62.3,8.2,17.3,84.5,91.4,29.2
BOS-21-09,Boston,21,9,22,3495,1921,0,98.7,3495,0,1992.9,536.4,333.2,145.6,2156.0,557.3,2580.0,527.1,370.3,218.8,626.4,187.6,1681.7,237.1,932.8,282.5,92.2,59.4,255.1,156.2,1528.0,450.4,1681.7,237.1,3178.4,601.5,1432.8,219.1,3014.3,588.5,3,94.8,62.7,10.5,11.6,48.1,2.9,29.3,83.6,85.2,37.2
BOS-21-10,Boston,21,10,13,2301,1267,0,98.0,2301,0,1090.2,212.9,408.6,154.8,1263.6,223.6,1648.7,224.6,288.8,152.0,457.8,152.0,1333.0,185.1,516.3,154.8,89.8,52.6,105.8,97.9,1007.4,178.5,1333.0,185.1,2008.2,294.2,1092.8,155.6,1874.2,292.0,4,93.3,54.3,20.3,14.4,50.2,4.5,25.7,76.6,82.0,34.3
BOS-21-11,Boston,21,11,10,2804,1360,0,99.0,2804,0,1827.0,412.4,149.1,89.3,1559.0,348.9,1792.4,390.8,306.9,242.9,250.4,132.7,1204.8,271.6,331.6,131.0,36.0,49.5,38.6,50.3,1489.7,442.8,1204.8,271.6,2202.7,481.6,998.3,266.5,2202.7,437.1,3,100.0,82.9,6.8,13.9,67.6,1.6,15.1,87.0,82.9,20.8
BOS-21-12,Boston,21,12,16,2543,1391,0,97.6,2543,0,1017.8,264.8,380.7,131.2,1133.3,268.0,1498.7,314.7,117.7,61.1,472.3,150.8,1016.6,177.1,383.6,160.3,221.2,144.1,66.0,78.1,1031.2,266.5,1016.6,177.1,1819.7,370.5,898.0,167.4,1775.6,323.3,3,97.6,55.9,20.9,6.5,56.7,12.2,21.1,75.6,88.3,46.5
BOS-21-13,Boston,21,13,17,3152,1772,0,97.1,3152,0,1117.7,285.2,994.9,372.8,1517.2,356.0,2277.0,436.9,93.3,80.7,935.5,371.6,1629.2,330.3,547.1,172.6,39.7,61.0,105.4,85.8,1812.6,499.1,1629.2,330.3,2598.1,511.3,1432.1,341.6,2562.6,504.5,4,98.6,43.0,38.3,3.6,69.8,1.5,21.1,66.6,87.9,57.4
BOS-21-14,Boston,21,14,9,1682,919,0,97.7,1682,0,1224.5,278.2,93.9,52.5,1189.0,252.2,1333.6,258.8,128.1,97.3,223.1,96.8,980.6,156.6,242.1,138.5,221.1,186.9,38.2,40.8,1226.5,276.9,980.6,156.6,1855.9,404.6,820.3,150.4,1771.0,316.4,2,95.4,66.0,5.1,6.9,66.1,11.9,13.0,89.2,83.6,22.8
BOS-21-15,Boston,21,15,11,2000,1218,0,98.2,2000,0,932.2,146.9,205.9,67.4,1026.8,161.2,1393.3,253.8,145.3,59.6,270.6,70.4,1014.0,118.7,240.7,90.9,94.0,44.6,92.9,59.1,1061.9,232.7,1014.0,118.7,1634.7,264.8,867.3,115.6,1621.8,236.5,3,99.2,57.0,12.6,8.9,65.0,5.7,14.7,73.7,85.5,26.7
BOS-21-16,Boston,21,16,19,6175,1744,0,97.2,6175,0,4323.5,496.9,317.5,115.6,1220.0,184.6,1686.4,236.4,391.9,133.1,458.9,119.6,1293.8,140.7,610.6,185.8,449.7,146.7,475.0,190.9,3422.5,468.2,1293.8,140.7,5349.7,589.8,1080.5,126.7,5236.6,533.0,5,97.9,80.8,5.9,7.3,64.0,8.4,11.4,72.3,83.5,35.5
BOS-22-01,Boston,22,1,69,4222,1910,0,98.1,4222,0,2789.7,360.1,196.7,123.7,2052.4,309.0,2502.1,370.4,451.3,178.1,386.4,137.3,1407.5,158.5,633.8,184.3,346.0,187.4,164.5,110.9,2434.1,416.9,1407.5,158.5,4029.8,506.1,1129.5,135.4,3594.5,419.9,8,89.2,69.2,4.9,11.2,60.4,8.6,15.7,82.0,80.2,27.5
BOS-22-02,Boston,22,2,33,4033,1697,0,98.5,4033,0,1882.1,315.3,222.2,99.0,1729.0,314.4,2765.8,445.4,571.0,223.2,289.5,100.8,1472.7,200.0,706.1,168.9,224.6,145.0,335.6,243.4,1913.5,375.4,1472.7,200.0,3750.7,629.5,1121.6,187.9,3247.3,429.7,6,86.6,50.2,5.9,15.2,51.0,6.0,18.8,62.5,76.2,19.7
BOS-22-03,Boston,22,3,27,3034,1281,0,96.3,3034,0,1717.7,290.9,348.8,132.8,1446.2,260.1,2107.6,327.2,538.0,197.5,319.4,116.3,1328.1,187.7,649.3,211.7,94.1,68.5,198.4,133.3,1523.1,255.0,1328.1,187.7,3003.0,422.3,937.8,177.6,2679.5,348.9,5,89.2,57.2,11.6,17.9,50.7,3.1,21.6,68.6,70.6,24.1
BOS-22-04,Boston,22,4,16,2067,924,0,98.6,2067,0,992.9,198.6,187.3,77.2,1138.4,270.1,1570.0,273.7,148.1,112.6,104.8,58.5,796.5,113.2,267.9,105.9,123.9,93.6,147.3,94.2,1179.9,241.4,796.5,113.2,1867.0,283.8,441.3,95.7,1754.8,261.6,3,94.0,53.2,10.0,7.9,63.2,6.6,14.3,72.5,55.4,13.2
BOS-22-05,Boston,22,5,35,2864,1303,0,98.4,2864,0,1391.8,456.6,275.0,123.3,1405.6,596.5,2089.5,555.4,347.2,158.3,417.4,151.4,1298.6,236.0,555.6,193.3,133.2,121.7,151.7,111.3,1390.3,604.0,1298.6,236.0,2578.0,578.6,1019.8,221.3,2324.2,508.4,3,90.2,54.0,10.7,13.5,53.9,5.2,21.6,67.3,78.5,32.1
BOS-22-06,Boston,22,6,20,1862,826,0,98.2,1862,0,742.0,188.7,187.0,156.5,845.0,209.3,1442.0,402.0,58.0,40.3,93.0,76.7,761.0,148.4,809.0,400.5,53.0,58.7,180.0,125.9,796.0,227.6,761.0,148.4,1896.0,482.3,595.0,139.2,1666.0,309.5,2,87.9,39.1,9.9,3.1,42.0,2.8,42.7,58.6,78.2,12.2
BOS-22-07,Boston,22,7,12,2455,1016,0,98.5,2455,0,1306.7,320.5,256.7,112.8,1161.0,236.1,1917.6,378.2,290.2,188.9,229.1,125.3,1040.5,206.4,135.8,66.5,95.0,56.4,391.8,376.2,1590.9,324.8,1040.5,206.4,2503.6,669.8,722.5,185.2,2089.9,369.9,5,83.5,52.2,10.3,11.6,63.5,3.8,5.4,60.5,69.4,22.0
BOS-22-08,Boston,22,8,20,2191,974,0,98.8,2191,0,1433.3,429.9,305.2,111.1,1306.2,496.1,1813.7,492.1,141.2,76.7,98.9,70.0,1005.6,219.0,322.5,117.9,102.8,77.3,177.5,106.1,1662.7,547.0,1005.6,219.0,2406.7,559.5,667.8,220.2,2281.4,468.2,2,94.8,59.6,12.7,5.9,69.1,4.3,13.4,72.0,66.4,9.8
BOS-22-09,Boston,22,9,12,2347,1071,0,98.7,2347,0,1124.0,272.8,280.6,146.8,1313.5,339.3,1619.9,420.7,159.9,163.4,124.3,70.9,872.8,150.7,384.6,160.4,47.3,56.0,251.6,208.3,1337.3,363.7,872.8,150.7,2180.8,555.1,636.6,124.6,2037.2,375.4,3,93.4,51.5,12.9,7.3,61.3,2.2,17.6,81.1,72.9,14.2
