old_precinct_id,current_precinct_id,population_2020,housing_units_2020,land_area_sq_m_2020,census_block_count,old_population_2020,old_housing_units_2020,old_land_area_sq_m_2020,allocation_weight,weight_basis,source_piece_count,target_source_count
BOS-01-1,BOS-01-1,2340,1121,7077273,57,2340,1121,7077273,1.0,2020 population,1,2
BOS-01-10,BOS-01-10,2496,874,332987,29,2496,874,332987,1.0,2020 population,1,1
BOS-01-11,BOS-01-11,2610,1101,552513,37,2610,1101,552513,1.0,2020 population,1,1
BOS-01-12,BOS-01-1,0,0,0,1,2492,977,1216675,0.0,2020 population,2,2
BOS-01-12,BOS-01-12,2492,977,1216675,33,2492,977,1216675,1.0,2020 population,2,1
BOS-01-13,BOS-01-13,3817,1547,703173,21,3817,1547,703173,1.0,2020 population,2,1
BOS-01-13,BOS-01-14,0,0,0,1,3817,1547,703173,0.0,2020 population,2,2
BOS-01-14,BOS-01-14,1867,668,1625934,18,1867,668,1625934,1.0,2020 population,1,2
BOS-01-15,BOS-01-15,0,0,1830394,6,0,0,1830394,1.0,land area fallback,1,1
BOS-01-2,BOS-01-2,2603,1083,188805,12,2603,1083,188805,1.0,2020 population,1,1
BOS-01-3,BOS-01-3,5111,2815,388106,32,5111,2815,388106,1.0,2020 population,1,1
BOS-01-4,BOS-01-4,3019,1435,260631,27,3019,1435,260631,1.0,2020 population,1,1
BOS-01-5,BOS-01-5,3539,1418,405216,24,3539,1418,405216,1.0,2020 population,1,1
BOS-01-6,BOS-01-6,3301,1266,206607,15,3301,1266,206607,1.0,2020 population,1,1
BOS-01-7,BOS-01-7,3331,1218,230252,15,3331,1218,230252,1.0,2020 population,1,1
BOS-01-8,BOS-01-8,3826,1487,308403,16,3826,1487,308403,1.0,2020 population,1,1
BOS-01-9,BOS-01-9,2721,1010,317260,15,2721,1010,317260,1.0,2020 population,1,1
BOS-02-1,BOS-02-1,1231,609,340277,29,2669,1432,713656,0.46122143,2020 population,3,3
BOS-02-1,BOS-02-3,1438,823,196867,24,2669,1432,713656,0.53877857,2020 population,3,3
BOS-02-1,BOS-02-7,0,0,176512,7,2669,1432,713656,0.0,2020 population,3,2
BOS-02-2,BOS-02-2,2081,1323,396052,20,4520,2354,1038340,0.46039823,2020 population,4,1
BOS-02-2,BOS-02-3,0,0,0,1,4520,2354,1038340,0.0,2020 population,4,3
BOS-02-2,BOS-02-4,229,82,44427,6,4520,2354,1038340,0.05066372,2020 population,4,4
BOS-02-2,BOS-02-8,2210,949,597861,25,4520,2354,1038340,0.48893805,2020 population,4,2
BOS-02-3,BOS-02-1,177,81,8173,3,1966,941,144408,0.09003052,2020 population,3,3
BOS-02-3,BOS-02-3,922,432,81867,8,1966,941,144408,0.46897253,2020 population,3,3
BOS-02-3,BOS-02-4,867,428,54368,8,1966,941,144408,0.44099695,2020 population,3,4
BOS-02-4,BOS-02-4,1168,487,59210,14,2537,1108,132138,0.46038628,2020 population,3,4
BOS-02-4,BOS-02-5,214,103,9403,1,2537,1108,132138,0.0843516,2020 population,3,3
BOS-02-4,BOS-02-8,1155,518,63525,11,2537,1108,132138,0.45526212,2020 population,3,2
BOS-02-5,BOS-02-4,180,76,10321,1,2029,968,149196,0.08871365,2020 population,3,4
BOS-02-5,BOS-02-5,1318,637,85570,11,2029,968,149196,0.64958107,2020 population,3,3
BOS-02-5,BOS-02-6,531,255,53305,3,2029,968,149196,0.26170527,2020 population,3,3
BOS-02-6,BOS-02-1,1514,620,83891,11,2813,1212,171626,0.53821543,2020 population,3,3
BOS-02-6,BOS-02-5,733,338,53033,8,2813,1212,171626,0.2605759,2020 population,3,3
BOS-02-6,BOS-02-6,566,254,34702,4,2813,1212,171626,0.20120867,2020 population,3,3
BOS-02-7,BOS-02-6,826,415,83700,6,2586,1510,1154381,0.31941222,2020 population,2,3
BOS-02-7,BOS-02-7,1760,1095,1070681,47,2586,1510,1154381,0.68058778,2020 population,2,2
BOS-03-1,BOS-03-1,1951,1167,151317,14,4026,2490,257048,0.4846001,2020 population,4,2
BOS-03-1,BOS-03-11,161,113,10503,1,4026,2490,257048,0.03999006,2020 population,4,3
BOS-03-1,BOS-03-2,1911,1210,75709,22,4026,2490,257048,0.47466468,2020 population,4,2
BOS-03-1,BOS-03-6,3,0,19519,4,4026,2490,257048,0.00074516,2020 population,4,4
BOS-03-2,BOS-03-10,0,0,0,1,2346,1480,169708,0.0,2020 population,3,4
BOS-03-2,BOS-03-11,1542,1018,54187,12,2346,1480,169708,0.657289,2020 population,3,3
BOS-03-2,BOS-03-2,804,462,115521,10,2346,1480,169708,0.342711,2020 population,3,2
BOS-03-3,BOS-03-1,488,339,16364,7,2603,1678,128833,0.18747599,2020 population,5,2
BOS-03-3,BOS-03-11,519,312,21090,3,2603,1678,128833,0.19938532,2020 population,5,3
BOS-03-3,BOS-03-3,978,650,42564,4,2603,1678,128833,0.37572032,2020 population,5,2
BOS-03-3,BOS-03-4,618,377,28428,5,2603,1678,128833,0.23741836,2020 population,5,2
BOS-03-3,BOS-03-6,0,0,20387,5,2603,1678,128833,0.0,2020 population,5,4
BOS-03-4,BOS-03-10,775,516,32693,8,2890,1878,106356,0.26816609,2020 population,4,4
BOS-03-4,BOS-03-3,825,522,18891,4,2890,1878,106356,0.28546713,2020 population,4,2
BOS-03-4,BOS-03-4,1290,840,43599,9,2890,1878,106356,0.44636678,2020 population,4,2
BOS-03-4,BOS-03-6,0,0,11173,3,2890,1878,106356,0.0,2020 population,4,4
BOS-03-5,BOS-03-10,1378,1135,226541,15,5799,4087,639047,0.23762718,2020 population,3,4
BOS-03-5,BOS-03-5,2255,1495,75405,3,5799,4087,639047,0.38886015,2020 population,3,1
BOS-03-5,BOS-03-9,2166,1457,337101,19,5799,4087,639047,0.37351267,2020 population,3,1
BOS-03-6,BOS-03-10,1131,640,112361,11,7744,4987,1103672,0.14604855,2020 population,6,4
BOS-03-6,BOS-03-12,1225,642,105474,14,7744,4987,1103672,0.15818698,2020 population,6,2
BOS-03-6,BOS-03-13,1515,963,337091,49,7744,4987,1103672,0.19563533,2020 population,6,2
BOS-03-6,BOS-03-14,229,214,64334,6,7744,4987,1103672,0.02957128,2020 population,6,2
BOS-03-6,BOS-03-17,1803,1279,58101,6,7744,4987,1103672,0.23282541,2020 population,6,1
BOS-03-6,BOS-03-6,1841,1249,426311,53,7744,4987,1103672,0.23773244,2020 population,6,4
BOS-03-7,BOS-03-16,2767,1363,214584,19,4653,2432,304292,0.59467011,2020 population,2,1
BOS-03-7,BOS-03-7,1886,1069,89708,10,4653,2432,304292,0.40532989,2020 population,2,1
BOS-03-8,BOS-03-12,3236,1638,101274,10,14304,7696,945957,0.22623043,2020 population,7,2
BOS-03-8,BOS-03-13,198,72,48416,7,14304,7696,945957,0.01384228,2020 population,7,2
BOS-03-8,BOS-03-14,2985,1380,433219,46,14304,7696,945957,0.20868289,2020 population,7,2
BOS-03-8,BOS-03-15,2297,1567,151458,12,14304,7696,945957,0.16058445,2020 population,7,1
