race_id,district,precinct_id,ward,precinct,challenger,incumbent,endorsed_candidate,challenger_votes,incumbent_votes,extra_candidate_votes,two_candidate_votes,contest_ballots,challenger_share_pct,endorsed_share_pct,wu_2021_preliminary_share_pct,wu_2021_final_share_pct,wu_2025_preliminary_share_pct,wu_2021_preliminary_wu_votes_est,wu_2021_preliminary_valid_votes_est,wu_2021_final_wu_votes_est,wu_2021_final_valid_votes_est,wu_2025_preliminary_wu_votes,wu_2025_preliminary_valid_votes,outcome_note
first-suffolk,First Suffolk,BOS-13-10,13,10,Latoya Gayle,Nicholas Collins,Latoya Gayle,189,325,9,514,541,36.7704,36.7704,24.7945,46.5649,57.0962,181.0,730.0,427.0,917.0,350,613,Collins won; Gayle was endorsed by Mayor Wu.
first-suffolk,First Suffolk,BOS-13-3,13,3,Latoya Gayle,Nicholas Collins,Latoya Gayle,88,56,5,144,158,61.1111,61.1111,35.2657,75.2322,85.7923,73.0,207.0,243.0,323.0,157,183,Collins won; Gayle was endorsed by Mayor Wu.
first-suffolk,First Suffolk,BOS-13-5,13,5,Latoya Gayle,Nicholas Collins,Latoya Gayle,97,81,6,178,196,54.4944,54.4944,21.4876,74.183,61.8182,52.0,242.0,227.0,306.0,136,220,Collins won; Gayle was endorsed by Mayor Wu.
first-suffolk,First Suffolk,BOS-13-6,13,6,Latoya Gayle,Nicholas Collins,Latoya Gayle,113,90,9,203,220,55.665,55.665,28.0236,66.5148,69.1176,95.0,339.0,292.0,439.0,188,272,Collins won; Gayle was endorsed by Mayor Wu.
first-suffolk,First Suffolk,BOS-13-7,13,7,Latoya Gayle,Nicholas Collins,Latoya Gayle,121,95,1,216,240,56.0185,56.0185,36.3636,53.4615,63.1229,132.0,363.0,278.0,520.0,190,301,Collins won; Gayle was endorsed by Mayor Wu.
first-suffolk,First Suffolk,BOS-13-8,13,8,Latoya Gayle,Nicholas Collins,Latoya Gayle,113,76,0,189,202,59.7884,59.7884,30.2251,57.7566,69.4323,94.0,311.0,242.0,419.0,159,229,Collins won; Gayle was endorsed by Mayor Wu.
first-suffolk,First Suffolk,BOS-13-9,13,9,Latoya Gayle,Nicholas Collins,Latoya Gayle,159,111,2,270,291,58.8889,58.8889,28.7293,61.811,72.093,104.0,362.0,314.0,508.0,217,301,Collins won; Gayle was endorsed by Mayor Wu.
first-suffolk,First Suffolk,BOS-15-1,15,1,Latoya Gayle,Nicholas Collins,Latoya Gayle,73,87,5,160,174,45.625,45.625,14.5215,72.335,65.9389,44.0,303.0,285.0,394.0,151,229,Collins won; Gayle was endorsed by Mayor Wu.
first-suffolk,First Suffolk,BOS-15-2,15,2,Latoya Gayle,Nicholas Collins,Latoya Gayle,47,42,6,89,103,52.809,52.809,11.0048,64.7541,71.6814,23.0,209.0,158.0,244.0,81,113,Collins won; Gayle was endorsed by Mayor Wu.
first-suffolk,First Suffolk,BOS-15-3,15,3,Latoya Gayle,Nicholas Collins,Latoya Gayle,33,43,2,76,84,43.4211,43.4211,19.1176,63.9535,73.3333,26.0,136.0,110.0,172.0,77,105,Collins won; Gayle was endorsed by Mayor Wu.
first-suffolk,First Suffolk,BOS-15-4,15,4,Latoya Gayle,Nicholas Collins,Latoya Gayle,122,120,7,242,261,50.4132,50.4132,14.1643,64.2553,74.7368,44.2697,312.544,267.3889,416.1351,213,285,Collins won; Gayle was endorsed by Mayor Wu.
first-suffolk,First Suffolk,BOS-15-5,15,5,Latoya Gayle,Nicholas Collins,Latoya Gayle,71,65,5,136,147,52.2059,52.2059,15.035,69.0402,73.5849,43.0,286.0,223.0,323.0,117,159,Collins won; Gayle was endorsed by Mayor Wu.
first-suffolk,First Suffolk,BOS-15-6,15,6,Latoya Gayle,Nicholas Collins,Latoya Gayle,91,67,1,158,172,57.5949,57.5949,27.1863,56.9555,66.9811,66.7303,245.456,181.6111,318.8649,142,212,Collins won; Gayle was endorsed by Mayor Wu.
first-suffolk,First Suffolk,BOS-15-7,15,7,Latoya Gayle,Nicholas Collins,Latoya Gayle,74,49,1,123,128,60.1626,60.1626,19.5122,67.6364,69.5652,48.0,246.0,186.0,275.0,112,161,Collins won; Gayle was endorsed by Mayor Wu.
first-suffolk,First Suffolk,BOS-15-8,15,8,Latoya Gayle,Nicholas Collins,Latoya Gayle,38,68,3,106,116,35.8491,35.8491,23.8739,62.9091,68.9873,53.0,222.0,173.0,275.0,109,158,Collins won; Gayle was endorsed by Mayor Wu.
first-suffolk,First Suffolk,BOS-15-9,15,9,Latoya Gayle,Nicholas Collins,Latoya Gayle,81,36,7,117,133,69.2308,69.2308,28.9216,65.5678,69.2737,59.0,204.0,179.0,273.0,124,179,Collins won; Gayle was endorsed by Mayor Wu.
